administration_date,fips,locality,health_district,facility_type,vaccine_manufacturer,dose_number,vaccine_doses_administered,Population,region
2021-06-21,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,1,5,0,other
2021-06-21,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,2,19,0,other
2021-06-21,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,1,6,0,other
2021-06-21,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,1,16,0,other
2021-06-21,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,2,52,0,other
2021-06-21,Not Reported,Not Reported,Not Reported,Local Health Departments,J&J,1,2,0,other
2021-06-21,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,1,12,0,other
2021-06-21,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,1,6,0,other
2021-06-21,Not Reported,Not Reported,Not Reported,Local Health Departments,Moderna,2,2,0,other
2021-06-21,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,2,122,0,other
2021-06-21,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,2,13,0,other
2021-06-21,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,1,18,0,other
2021-06-21,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,1,44,0,other
2021-06-21,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,1,160,0,other
2021-06-21,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,2,12,0,other
2021-06-21,Not Reported,Not Reported,Not Reported,Medical Practices,J&J,1,5,0,other
2021-06-21,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,2,21,0,other
2021-06-21,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,2,26,0,other
2021-06-21,Not Reported,Not Reported,Not Reported,Other Community Health Providers,J&J,1,3,0,other
2021-06-21,Not Reported,Not Reported,Not Reported,Pharmacies,J&J,1,23,0,other
2021-06-21,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,2,83,0,other
2021-06-21,Out of State,Out of State,Out of State,Pharmacies,Pfizer,1,231,0,other
2021-06-21,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,1,7,0,other
2021-06-21,Out of State,Out of State,Out of State,Pharmacies,Moderna,2,82,0,other
2021-06-21,Out of State,Out of State,Out of State,Medical Practices,Moderna,1,4,0,other
2021-06-21,Out of State,Out of State,Out of State,Hospitals,Pfizer,2,7,0,other
2021-06-21,Out of State,Out of State,Out of State,Local Health Departments,J&J,1,2,0,other
2021-06-21,Out of State,Out of State,Out of State,Local Health Departments,Moderna,1,1,0,other
2021-06-21,Out of State,Out of State,Out of State,Pharmacies,Pfizer,2,71,0,other
2021-06-21,Out of State,Out of State,Out of State,Pharmacies,Moderna,1,85,0,other
2021-06-21,Out of State,Out of State,Out of State,Medical Practices,Moderna,2,4,0,other
2021-06-21,Out of State,Out of State,Out of State,Other Community Health Providers,J&J,1,1,0,other
2021-06-21,Out of State,Out of State,Out of State,Pharmacies,J&J,1,33,0,other
2021-06-21,Out of State,Out of State,Out of State,Local Health Departments,Moderna,2,1,0,other
2021-06-21,Out of State,Out of State,Out of State,Hospitals,Pfizer,1,7,0,other
2021-06-21,Out of State,Out of State,Out of State,Medical Practices,Pfizer,2,7,0,other
2021-06-21,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,2,7,0,other
2021-06-21,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,2,6,0,other
2021-06-21,Out of State,Out of State,Out of State,Medical Practices,Pfizer,1,6,0,other
2021-06-21,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,1,16,0,other
2021-06-20,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,1,83,0,other
2021-06-20,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,1,23,0,other
2021-06-20,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,2,135,0,other
2021-06-20,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,2,5,0,other
2021-06-20,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,1,3,0,other
2021-06-20,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,1,3,0,other
2021-06-20,Not Reported,Not Reported,Not Reported,Pharmacies,J&J,1,11,0,other
2021-06-20,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,1,1,0,other
2021-06-20,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,2,39,0,other
2021-06-20,Out of State,Out of State,Out of State,Pharmacies,Moderna,2,54,0,other
2021-06-20,Out of State,Out of State,Out of State,Pharmacies,J&J,1,22,0,other
2021-06-20,Out of State,Out of State,Out of State,Pharmacies,Pfizer,2,104,0,other
2021-06-20,Out of State,Out of State,Out of State,Pharmacies,Moderna,1,53,0,other
2021-06-20,Out of State,Out of State,Out of State,Medical Practices,Pfizer,1,2,0,other
2021-06-20,Out of State,Out of State,Out of State,Pharmacies,Pfizer,1,112,0,other
2021-06-20,Out of State,Out of State,Out of State,Medical Practices,Moderna,2,1,0,other
2021-06-20,Out of State,Out of State,Out of State,Medical Practices,Pfizer,2,2,0,other
2021-06-19,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,1,1,0,other
2021-06-19,Not Reported,Not Reported,Not Reported,Local Health Departments,J&J,1,2,0,other
2021-06-19,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,1,23,0,other
2021-06-19,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,1,129,0,other
2021-06-19,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,1,31,0,other
2021-06-19,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,2,37,0,other
2021-06-19,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,2,53,0,other
2021-06-19,Not Reported,Not Reported,Not Reported,Hospitals,J&J,1,2,0,other
2021-06-19,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,2,91,0,other
2021-06-19,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,2,40,0,other
2021-06-19,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,1,4,0,other
2021-06-19,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,1,22,0,other
2021-06-19,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,2,9,0,other
2021-06-19,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,1,2,0,other
2021-06-19,Not Reported,Not Reported,Not Reported,Other Community Health Providers,J&J,1,5,0,other
2021-06-19,Not Reported,Not Reported,Not Reported,Medical Practices,J&J,1,1,0,other
2021-06-19,Not Reported,Not Reported,Not Reported,Local Health Departments,Moderna,2,4,0,other
2021-06-19,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,2,62,0,other
2021-06-19,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,2,307,0,other
2021-06-19,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,1,22,0,other
2021-06-19,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,2,3,0,other
2021-06-19,Not Reported,Not Reported,Not Reported,Pharmacies,J&J,1,18,0,other
2021-06-19,Out of State,Out of State,Out of State,Pharmacies,Moderna,1,69,0,other
2021-06-19,Out of State,Out of State,Out of State,Pharmacies,Moderna,2,83,0,other
2021-06-19,Out of State,Out of State,Out of State,Medical Practices,Pfizer,2,14,0,other
2021-06-19,Out of State,Out of State,Out of State,Medical Practices,Moderna,1,2,0,other
2021-06-19,Out of State,Out of State,Out of State,Pharmacies,Pfizer,2,157,0,other
2021-06-19,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,1,8,0,other
2021-06-19,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,2,22,0,other
2021-06-19,Out of State,Out of State,Out of State,Medical Practices,Pfizer,1,29,0,other
2021-06-19,Out of State,Out of State,Out of State,Hospitals,Pfizer,1,9,0,other
2021-06-19,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,1,1,0,other
2021-06-19,Out of State,Out of State,Out of State,Local Health Departments,J&J,1,3,0,other
2021-06-19,Out of State,Out of State,Out of State,Pharmacies,Pfizer,1,138,0,other
2021-06-19,Out of State,Out of State,Out of State,Medical Practices,Moderna,2,1,0,other
2021-06-19,Out of State,Out of State,Out of State,Pharmacies,J&J,1,29,0,other
2021-06-19,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,1,9,0,other
2021-06-19,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,2,16,0,other
2021-06-19,Out of State,Out of State,Out of State,Local Health Departments,Moderna,2,1,0,other
2021-06-19,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,2,7,0,other
2021-06-19,Out of State,Out of State,Out of State,Hospitals,Pfizer,2,8,0,other
2021-06-18,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,1,50,0,other
2021-06-18,Not Reported,Not Reported,Not Reported,Hospitals,Moderna,2,3,0,other
2021-06-18,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,1,148,0,other
2021-06-18,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,2,107,0,other
2021-06-18,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,1,16,0,other
2021-06-18,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,1,14,0,other
2021-06-18,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,2,54,0,other
2021-06-18,Not Reported,Not Reported,Not Reported,Pharmacies,J&J,1,28,0,other
2021-06-18,Not Reported,Not Reported,Not Reported,Local Health Departments,J&J,1,2,0,other
2021-06-18,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,1,9,0,other
2021-06-18,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,1,39,0,other
2021-06-18,Not Reported,Not Reported,Not Reported,Local Health Departments,Moderna,2,2,0,other
2021-06-18,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,1,14,0,other
2021-06-18,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,1,2,0,other
2021-06-18,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,2,81,0,other
2021-06-18,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,2,22,0,other
2021-06-18,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,2,7,0,other
2021-06-18,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,2,4,0,other
2021-06-18,Not Reported,Not Reported,Not Reported,Medical Practices,J&J,1,5,0,other
2021-06-18,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,2,15,0,other
2021-06-18,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,2,262,0,other
2021-06-18,Not Reported,Not Reported,Not Reported,Other Community Health Providers,J&J,1,6,0,other
2021-06-18,Out of State,Out of State,Out of State,Hospitals,Pfizer,1,3,0,other
2021-06-18,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,1,9,0,other
2021-06-18,Out of State,Out of State,Out of State,Medical Practices,Moderna,1,5,0,other
2021-06-18,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,2,2,0,other
2021-06-18,Out of State,Out of State,Out of State,Other Community Health Providers,J&J,1,2,0,other
2021-06-18,Out of State,Out of State,Out of State,Local Health Departments,Moderna,2,5,0,other
2021-06-18,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,1,1,0,other
2021-06-18,Out of State,Out of State,Out of State,Pharmacies,J&J,1,38,0,other
2021-06-18,Out of State,Out of State,Out of State,Medical Practices,Pfizer,1,24,0,other
2021-06-18,Out of State,Out of State,Out of State,Medical Practices,Pfizer,2,29,0,other
2021-06-18,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,1,3,0,other
2021-06-18,Out of State,Out of State,Out of State,Hospitals,Pfizer,2,2,0,other
2021-06-18,Out of State,Out of State,Out of State,Pharmacies,Pfizer,2,189,0,other
2021-06-18,Out of State,Out of State,Out of State,Medical Practices,J&J,1,2,0,other
2021-06-18,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,2,24,0,other
2021-06-18,Out of State,Out of State,Out of State,Pharmacies,Moderna,1,111,0,other
2021-06-18,Out of State,Out of State,Out of State,Medical Practices,Moderna,2,11,0,other
2021-06-18,Out of State,Out of State,Out of State,Pharmacies,Pfizer,1,195,0,other
2021-06-18,Out of State,Out of State,Out of State,Pharmacies,Moderna,2,142,0,other
2021-06-18,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,2,5,0,other
2021-06-17,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,2,74,0,other
2021-06-17,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,2,43,0,other
2021-06-17,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,1,31,0,other
2021-06-17,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,2,121,0,other
2021-06-17,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,1,54,0,other
2021-06-17,Not Reported,Not Reported,Not Reported,Other Community Health Providers,J&J,1,4,0,other
2021-06-17,Not Reported,Not Reported,Not Reported,Hospitals,Moderna,2,5,0,other
2021-06-17,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,1,29,0,other
2021-06-17,Not Reported,Not Reported,Not Reported,Hospitals,J&J,1,5,0,other
2021-06-17,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,2,14,0,other
2021-06-17,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,1,132,0,other
2021-06-17,Not Reported,Not Reported,Not Reported,Pharmacies,J&J,1,21,0,other
2021-06-17,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,2,42,0,other
2021-06-17,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,1,23,0,other
2021-06-17,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,1,15,0,other
2021-06-17,Not Reported,Not Reported,Not Reported,Medical Practices,J&J,1,8,0,other
2021-06-17,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,2,248,0,other
2021-06-17,Not Reported,Not Reported,Not Reported,Local Health Departments,Moderna,1,6,0,other
2021-06-17,Not Reported,Not Reported,Not Reported,Local Health Departments,Moderna,2,11,0,other
2021-06-17,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,2,62,0,other
2021-06-17,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,2,33,0,other
2021-06-17,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,1,19,0,other
2021-06-17,Not Reported,Not Reported,Not Reported,Local Health Departments,J&J,1,10,0,other
2021-06-17,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,1,5,0,other
2021-06-17,Out of State,Out of State,Out of State,Pharmacies,Moderna,1,248,0,other
2021-06-17,Out of State,Out of State,Out of State,Medical Practices,Pfizer,2,29,0,other
2021-06-17,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,2,20,0,other
2021-06-17,Out of State,Out of State,Out of State,Medical Practices,Moderna,1,5,0,other
2021-06-17,Out of State,Out of State,Out of State,Local Health Departments,Moderna,1,7,0,other
2021-06-17,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,1,17,0,other
2021-06-17,Out of State,Out of State,Out of State,Medical Practices,J&J,1,1,0,other
2021-06-17,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,1,6,0,other
2021-06-17,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,1,2,0,other
2021-06-17,Out of State,Out of State,Out of State,Local Health Departments,Moderna,2,7,0,other
2021-06-17,Out of State,Out of State,Out of State,Other Community Health Providers,J&J,1,3,0,other
2021-06-17,Out of State,Out of State,Out of State,Pharmacies,J&J,1,31,0,other
2021-06-17,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,2,1,0,other
2021-06-17,Out of State,Out of State,Out of State,Pharmacies,Pfizer,2,210,0,other
2021-06-17,Out of State,Out of State,Out of State,Hospitals,Pfizer,2,3,0,other
2021-06-17,Out of State,Out of State,Out of State,Hospitals,J&J,1,1,0,other
2021-06-17,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,2,20,0,other
2021-06-17,Out of State,Out of State,Out of State,Local Health Departments,J&J,1,2,0,other
2021-06-17,Out of State,Out of State,Out of State,Hospitals,Pfizer,1,4,0,other
2021-06-17,Out of State,Out of State,Out of State,Pharmacies,Pfizer,1,199,0,other
2021-06-17,Out of State,Out of State,Out of State,Pharmacies,Moderna,2,103,0,other
2021-06-17,Out of State,Out of State,Out of State,Medical Practices,Moderna,2,12,0,other
2021-06-17,Out of State,Out of State,Out of State,Medical Practices,Pfizer,1,19,0,other
2021-06-17,Out of State,Out of State,Out of State,Hospitals,Moderna,2,1,0,other
2021-06-16,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,2,38,0,other
2021-06-16,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,1,46,0,other
2021-06-16,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,1,18,0,other
2021-06-16,Not Reported,Not Reported,Not Reported,Local Health Departments,Moderna,1,6,0,other
2021-06-16,Not Reported,Not Reported,Not Reported,Pharmacies,J&J,1,24,0,other
2021-06-16,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,2,75,0,other
2021-06-16,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,2,46,0,other
2021-06-16,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,2,15,0,other
2021-06-16,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,1,24,0,other
2021-06-16,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,2,81,0,other
2021-06-16,Not Reported,Not Reported,Not Reported,Hospitals,Moderna,1,1,0,other
2021-06-16,Not Reported,Not Reported,Not Reported,Hospitals,J&J,1,2,0,other
2021-06-16,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,2,115,0,other
2021-06-16,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,2,351,0,other
2021-06-16,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,1,15,0,other
2021-06-16,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,1,52,0,other
2021-06-16,Not Reported,Not Reported,Not Reported,Local Health Departments,J&J,1,4,0,other
2021-06-16,Not Reported,Not Reported,Not Reported,Medical Practices,J&J,1,4,0,other
2021-06-16,Not Reported,Not Reported,Not Reported,Other Community Health Providers,J&J,1,5,0,other
2021-06-16,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,1,10,0,other
2021-06-16,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,1,138,0,other
2021-06-16,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,1,39,0,other
2021-06-16,Not Reported,Not Reported,Not Reported,Hospitals,Moderna,2,7,0,other
2021-06-16,Not Reported,Not Reported,Not Reported,Local Health Departments,Moderna,2,18,0,other
2021-06-16,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,2,29,0,other
2021-06-16,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,1,1,0,other
2021-06-16,Out of State,Out of State,Out of State,Pharmacies,Pfizer,1,215,0,other
2021-06-16,Out of State,Out of State,Out of State,Local Health Departments,J&J,1,2,0,other
2021-06-16,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,2,11,0,other
2021-06-16,Out of State,Out of State,Out of State,Medical Practices,Pfizer,2,49,0,other
2021-06-16,Out of State,Out of State,Out of State,Medical Practices,Moderna,2,12,0,other
2021-06-16,Out of State,Out of State,Out of State,Pharmacies,Pfizer,2,202,0,other
2021-06-16,Out of State,Out of State,Out of State,Hospitals,J&J,1,2,0,other
2021-06-16,Out of State,Out of State,Out of State,Pharmacies,Moderna,2,123,0,other
2021-06-16,Out of State,Out of State,Out of State,Local Health Departments,Moderna,2,6,0,other
2021-06-16,Out of State,Out of State,Out of State,Other Community Health Providers,J&J,1,8,0,other
2021-06-16,Out of State,Out of State,Out of State,Pharmacies,J&J,1,36,0,other
2021-06-16,Out of State,Out of State,Out of State,Hospitals,Pfizer,2,12,0,other
2021-06-16,Out of State,Out of State,Out of State,Medical Practices,J&J,1,1,0,other
2021-06-16,Out of State,Out of State,Out of State,Medical Practices,Pfizer,1,17,0,other
2021-06-16,Out of State,Out of State,Out of State,Pharmacies,Moderna,1,87,0,other
